Company,Baseline Location,Country,Actual City,Review URL,Overall,Recommend,CEO Approval,Total Reviews,Diversity & Inclusion,Work/Life Balance,Compensation and Benefits,Culture & Values,Career Opportunities,Senior Management
Acer - Global,Global,,Global,https://www.glassdoor.com/Reviews/Acer-Group-Reviews-E3802.htm,3.8,63%,73%,510,3.6,3.8,3.6,3.6,3.4,3.1
Dell Technologies - Global,Global,,Global,https://www.glassdoor.com/Reviews/Dell-Technologies-Reviews-E1327.htm,3.7,64%,70%,"36,332",4.1,3.8,3.5,3.7,3.4,3.3
"Dell Technologies - Fremont, CA","Fremont, CA",United States,"Aliso, CA","https://www.glassdoor.com/Reviews/Dell-Technologies-Aliso-Reviews-EI_IE1327.0,17_IL.18,23_IC3789361.htm",4.0,99%,100%,2,,5.0,5.0,4.0,4.0,3.0
"Dell Technologies - Mumbai, MH","Mumbai, MH",India,"Bengaluru, KA","https://www.glassdoor.com/Reviews/Dell-Technologies-Bengaluru-Reviews-EI_IE1327.0,17_IL.18,27_IC2940587.htm",3.9,71%,86%,"5,161",4.2,4.0,3.5,4.1,3.7,3.4
HP Inc. - Global,Global,,Global,https://www.glassdoor.com/Reviews/HP-Inc-Reviews-E1093161.htm,3.9,74%,59%,"9,431",4.2,4.1,3.5,4.0,3.5,3.4
"HP Inc. - Fremont, CA","Fremont, CA",United States,"Boise, ID","https://www.glassdoor.com/Reviews/HP-Inc-Boise-Reviews-EI_IE1093161.0,6_IL.7,12_IC1127927.htm",3.4,54%,,180,4.2,3.9,3.4,3.6,3.3,2.7
"HP Inc. - Barcelona, CT","Barcelona, CT",Spain,"Barcelona, CT","https://www.glassdoor.com/Reviews/HP-Inc-Barcelona-Reviews-EI_IE1093161.0,6_IL.7,16_IC2547194.htm",4.0,94%,,225,4.2,4.3,3.8,4.1,3.8,3.6
"HP Inc. - Hemel Hempstead, ENG","Hemel Hempstead, ENG",United Kingdom,"Cambridge, ENG","https://www.glassdoor.com/Reviews/HP-Inc-Cambridge-Reviews-EI_IE1093161.0,6_IL.7,16_IC2662516.htm",4.2,21%,,5,5.0,3.4,3.4,3.4,2.6,2.6
"HP Inc. - Mumbai, MH","Mumbai, MH",India,"Bengaluru, KA","https://www.glassdoor.com/Reviews/HP-Inc-Bengaluru-Reviews-EI_IE1093161.0,6_IL.7,16_IC2940587.htm",4.0,81%,99%,"1,340",4.2,4.2,3.4,4.2,3.6,3.6
HP Inc. - Singapore,Singapore,Singapore,Singapore,"https://www.glassdoor.com/Reviews/HP-Inc-Singapore-Reviews-EI_IE1093161.0,6_IL.7,16_IC3235921.htm",3.9,69%,,547,4.3,4.2,3.3,4.2,3.4,3.4
"HP Inc. - Taipei, TPQ","Taipei, TPQ",Taiwan,"Taipei, TPQ","https://www.glassdoor.com/Reviews/HP-Inc-Taipei-Reviews-EI_IE1093161.0,6_IL.7,13_IC3271041.htm",4.3,87%,,127,4.5,4.4,3.8,4.4,3.7,3.6
MSI - Global,Global,,Global,https://www.glassdoor.com/Reviews/MSI-Reviews-E1273104.htm,4.0,75%,91%,63,3.9,3.8,3.5,3.8,3.3,3.4
Quanta Computer - Global,Global,,Global,https://www.glassdoor.com/Reviews/Quanta-Computer-Reviews-E11939.htm,3.0,50%,54%,570,3.2,2.6,3.0,2.6,3.1,2.7
"Quanta Computer - Fremont, CA","Fremont, CA",United States,"Fremont, CA","https://www.glassdoor.com/Reviews/Quanta-Computer-Fremont-Reviews-EI_IE11939.0,15_IL.16,23_IC1147355.htm",2.9,3%,,60,2.6,2.7,2.3,2.6,2.1,2.5
Wistron - Global,Global,,Global,https://www.glassdoor.com/Reviews/Wistron-Reviews-E15218.htm,3.4,48%,83%,710,3.0,3.1,2.8,3.0,3.1,2.7
"Wistron - Taipei, TPQ","Taipei, TPQ",Taiwan,"Taipei, TPQ","https://www.glassdoor.com/Reviews/Wistron-Taipei-Reviews-EI_IE15218.0,7_IL.8,14_IC3271041.htm",3.6,66%,95%,216,3.3,3.5,3.0,3.3,3.5,2.9
AU Optronics - Global,Global,,Global,https://www.glassdoor.com/Reviews/AU-Optronics-Reviews-E16126.htm,3.5,61%,76%,400,3.3,3.7,3.1,3.3,3.4,3.0
